TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
Aniquilación,2018,115,Ciencia ficción,Alex Garland,Alex Garland,Natalie Portman,Reino Unido,6.0,28242
Anna,2019,119,Acción,Luc Besson,Luc Besson,Sasha Luss,Francia,5.8,5335
Anna Karenina,2012,130,Romance,Joe Wright,Joe Wright,Keira Knightley,Reino Unido,6.0,12830
Annette,2021,140,Musical,Leos Carax,Leos Carax,Adam Driver,Francia,6.3,5650
Annie Hall,1977,94,Romance,Woody Allen,Woody Allen,Woody Allen,Estados Unidos,8.0,72912
Anomalisa,2015,90,Animación,Charlie Kaufman,"Charlie Kaufman,", ,Estados Unidos,6.9,11845
Anonymous,2011,130,Drama,Roland Emmerich,Roland Emmerich,Rhys Ifans,Reino Unido,6.2,5590
Another Year,2010,129,Drama,Mike Leigh,Mike Leigh,Jim Broadbent,Reino Unido,6.8,6803
Ant-Man,2015,117,Ciencia ficción,Peyton Reed,Peyton Reed,Paul Rudd,Estados Unidos,6.2,37850
Ant-Man y la Avispa,2018,118,Ciencia ficción,Peyton Reed,Peyton Reed,Paul Rudd,Estados Unidos,5.9,22064
Antes de amanecer,1995,101,Romance,Richard Linklater,Richard Linklater,Ethan Hawke,Estados Unidos,7.4,44139
Antes de la lluvia,1994,110,Drama,Milcho Manchevski,Milcho Manchevski,Katrin Cartlidge,Macedonia,7.6,3558
Antes de la tormenta,2000,104,Drama,Reza Parsa,Reza Parsa,Per Graffman,Suecia,6.9,1350
Antes de ti,2016,110,Romance,Thea Sharrock,Thea Sharrock,Emilia Clarke,Estados Unidos,6.3,13829
Antes del anochecer,2013,104,Romance,Richard Linklater,Richard Linklater,Julie Delpy,Estados Unidos,7.3,26680
Antes que anochezca,2000,133,Drama,Julian Schnabel,Julian Schnabel,Javier Bardem,Estados Unidos,6.6,9707
Antes que el diablo sepa que has muerto,2007,117,Thriller,Sidney Lumet,Sidney Lumet,Philip Seymour Hoffman,Estados Unidos,7.0,36503
Anticristo,2009,104,Terror,Lars von Trier,Lars von Trier,Willem Dafoe,Dinamarca,6.1,25048
"Antikörper, el ángel de la oscuridad",2005,122,Thriller,Christian Alvart,Christian Alvart,Wotan Wilke Möhring,Alemania,6.0,1218
Antonia,1995,93,Drama,Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy,Países Bajos (Holanda),7.3,4205
Antwone Fisher,2002,113,Drama,Denzel Washington,Denzel Washington,Denzel Washington,Estados Unidos,6.5,6293
Apocalypse Now,1979,153,Bélico,Francis Ford Coppola,Francis Ford Coppola,Martin Sheen,Estados Unidos,8.2,107261
Apocalypto,2006,136,Aventuras,Mel Gibson,Mel Gibson,Rudy Youngblood,Estados Unidos,7.2,70694
Apolo 13,1995,140,Drama,Ron Howard,Ron Howard,Tom Hanks,Estados Unidos,6.4,28988
Appaloosa,2008,107,Western,Ed Harris,Ed Harris,Viggo Mortensen,Estados Unidos,6.3,18495
Appleseed: The Beginning,2004,104,Animación,Shinji Aramaki,Shinji Aramaki, ,Japón,6.4,1838
Aquiles y la tortuga,2008,120,Drama,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,Japón,6.9,1178
Aquí y ahora,2013,95,Drama,James Ponsoldt,James Ponsoldt,Miles Teller,Estados Unidos,6.2,8719
"Aquí, un amigo",1981,96,Comedia,Billy Wilder,Billy Wilder,Jack Lemmon,Estados Unidos,6.6,3720
Ararat,2002,116,Drama,Atom Egoyan,Atom Egoyan,Charles Aznavour,Canadá,6.9,2172
Arcadia,2005,122,Thriller,Costa-Gavras,Costa-Gavras,José García,Francia,7.0,6227
Arde Mississippi,1988,128,Drama,Alan Parker,Alan Parker,Gene Hackman,Estados Unidos,7.6,18660
"Argentina, 1985",2022,140,Thriller,Santiago Mitre,Santiago Mitre,Ricardo Darín,Argentina,7.4,15372
Argo,2012,120,Thriller,Ben Affleck,Ben Affleck,Ben Affleck,Estados Unidos,7.2,77723
Arizona Baby,1987,93,Comedia,Joel Coen,Joel Coen,Nicolas Cage,Estados Unidos,6.6,19684
Arlington Road. Temerás a tu vecino,1999,118,Intriga,Mark Pellington,Mark Pellington,Jeff Bridges,Estados Unidos,6.6,12229
Arma Joven,1988,102,Western,Christopher Cain,Christopher Cain,Pierce Brosnan,Estados Unidos,5.8,4550
Arma fatal,2007,121,Comedia,Edgar Wright,Edgar Wright,Simon Pegg,Reino Unido,6.7,28432
Arma letal,1987,105,Acción,Richard Donner,Richard Donner,Mel Gibson,Estados Unidos,6.7,84520
Arma letal 2,1989,110,Acción,Richard Donner,Richard Donner,Mel Gibson,Estados Unidos,6.1,50943
Armados y cabreados,2011,104,Comedia,Bobcat Goldthwait,Bobcat Goldthwait,Joel Murray,Estados Unidos,6.5,6974
Armageddon Time,2022,114,Drama,James Gray,James Gray,Michael Banks Repeta,Estados Unidos,6.5,2029
Armas de mujer,1988,120,Comedia,Mike Nichols,Mike Nichols,Harrison Ford,Estados Unidos,6.4,14137
Armas invencibles (Police Story),1985,96,Acción,Chen Chi-Hwa,"Chen Chi-Hwa,",Jackie Chan,Hong Kong,6.5,1536
Armonías de Werckmeister,2000,139,Drama,Béla Tarr,"Béla Tarr,",Lars Rudolph,Hungría,7.6,3205
Arn: El Caballero Templario,2007,139,Aventuras,Peter Flinth,Peter Flinth,Joakim Nätterqvist,Suecia,5.9,2748
Arrebato,1979,110,Intriga,Iván Zulueta,Iván Zulueta,Eusebio Poncela,España,7.2,11508
Arrietty y el mundo de los diminutos,2010,94,Animación,Hiromasa Yonebayashi,Hiromasa Yonebayashi, ,Japón,7.2,10271
Arráncame la vida,2008,107,Romance,Roberto Sneider,Roberto Sneider,Ana Claudia Talancón,México,6.4,1381
Arthur Christmas: Operación Regalo,2011,100,Animación,Sarah Smith,"Sarah Smith,", ,Reino Unido,6.5,3674
As bestas,2022,137,Thriller,Rodrigo Sorogoyen,Rodrigo Sorogoyen,Marina Foïs,España,7.7,27958
As the Gods Will,2014,117,Fantástico,Takashi Miike,Takashi Miike,Sôta Fukushi,Japón,5.9,1262
Asalto a la comisaría del distrito 13,1976,90,Acción,John Carpenter,John Carpenter,Austin Stoker,Estados Unidos,6.9,8019
Ases calientes,2007,109,Acción,Joe Carnahan,Joe Carnahan,Ryan Reynolds,Estados Unidos,6.2,17557
Asesinato en 8mm.,1999,116,Intriga,Joel Schumacher,Joel Schumacher,Nicolas Cage,Estados Unidos,6.3,27197
Asesinato en el Orient Express,1974,127,Intriga,Sidney Lumet,Sidney Lumet,Albert Finney,Reino Unido,7.0,15236
Asesinato por decreto,1979,118,Thriller,Bob Clark,Bob Clark,Christopher Plummer,Reino Unido,6.6,2059
Asesinos natos,1994,120,Thriller,Oliver Stone,Oliver Stone,Woody Harrelson,Estados Unidos,6.6,48168
Asignatura pendiente,1977,109,Drama,José Luis Garci,José Luis Garci,José Sacristán,España,6.3,3246
Asuntos de familia (City Island),2009,100,Comedia,Raymond De Felitta,Raymond De Felitta,Andy García,Estados Unidos,6.3,2024
Asuntos pendientes,2004,110,Thriller,Olivier Marchal,Olivier Marchal,Daniel Auteuil,Francia,6.5,3925
Asuntos privados en lugares públicos,2006,120,Drama,Alain Resnais,Alain Resnais,Lambert Wilson,Francia,6.2,1023
Asylum: El experimento,2014,112,Thriller,Brad Anderson,Brad Anderson,Kate Beckinsale,Estados Unidos,5.8,5354
Así en el cielo como en la tierra,1995,90,Comedia,José Luis Cuerda,José Luis Cuerda,Fernando Fernán Gómez,España,6.7,7175
Así somos (People Like Us),2012,114,Drama,Alex Kurtzman,Alex Kurtzman,Chris Pine,Estados Unidos,6.0,2866
Atando cabos,2001,124,Drama,Lasse Hallström,Lasse Hallström,Kevin Spacey,Estados Unidos,6.1,6071
Atenea,2022,99,Drama,Romain Gavras,Romain Gavras,Dali Benssalah,Francia,6.4,3219
Atlantic City,1980,104,Drama,Louis Malle,Louis Malle,Burt Lancaster,Canadá,7.2,4894
Atlantique,2019,100,Drama,Mati Diop,Mati Diop,Ibrahima Mbaye,Senegal,5.8,1375
Atlantis: El imperio perdido,2001,95,Animación,Gary Trousdale,"Gary Trousdale,", ,Estados Unidos,6.2,14589
Atmósfera cero,1981,109,Ciencia ficción,Peter Hyams,Peter Hyams,Sean Connery,Reino Unido,6.7,20443
Atracción diabólica,1988,115,Terror,George A. Romero,George A. Romero,Jason Beghe,Estados Unidos,6.0,2081
Atracción fatal,1987,119,Intriga,Adrian Lyne,Adrian Lyne,Michelle Williams,Reino Unido,6.2,12118
Atrapa el fuego (Catch a Fire),2006,101,Thriller,Phillip Noyce,Phillip Noyce,Tim Robbins,Estados Unidos,6.2,2039
Atrapado en el tiempo,1993,101,Comedia,Harold Ramis,Harold Ramis,Tom Hanks,Estados Unidos,7.4,74275
Atrapado en el túnel,2016,128,Drama,Kim Seong-hoon,Kim Seong-hoon,Ha Jung-woo,Corea del Sur,6.0,1100
Atrapado por su pasado,1993,139,Thriller,Brian De Palma,Brian De Palma,Al Pacino,Estados Unidos,7.9,40266
Atrápame si puedes,2002,140,Drama,Steven Spielberg,Steven Spielberg,Leonardo DiCaprio,Estados Unidos,7.3,88561
Atómica (Atomic Blonde),2017,115,Acción,David Leitch,David Leitch,Charlize Theron,Estados Unidos,5.8,12540
Audition,1999,115,Terror,Takashi Miike,Takashi Miike,Ryo Ishibashi,Japón,6.4,10884
Aullidos,1981,91,Terror,Joe Dante,Joe Dante,Dee Wallace,Estados Unidos,6.1,4514
Aunque tú no lo sepas,1999,96,Drama,Juan Vicente Córdoba,Juan Vicente Córdoba,Anton Yelchin,Estados Unidos,6.1,1166
Aupa Etxebeste!,2005,97,Comedia,Telmo Esnal,"Telmo Esnal,",Ramón Agirre,España,6.0,1632
Ausencia de malicia,1981,116,Intriga,Sydney Pollack,Sydney Pollack,Paul Newman,Estados Unidos,6.3,2471
Australia,2008,165,Aventuras,Baz Luhrmann,Baz Luhrmann,Nicole Kidman,Australia,5.8,37216
Autopsia de un alien (Autopsia alienígena),2006,95,Comedia,Jonny Campbell,Jonny Campbell,Declan Donnelly,Reino Unido,5.9,1130
Avatar,2009,161,Ciencia ficción,James Cameron,James Cameron,Sam Worthington,Estados Unidos,7.2,166119
Avatar: El sentido del agua,2022,192,Ciencia ficción,James Cameron,James Cameron,Sam Worthington,Estados Unidos,6.7,19915
Avengement,2019,90,Acción,Jesse V. Johnson,Jesse V. Johnson,Frederic Forrest,Estados Unidos,6.2,1016
Aventuras en la gran ciudad,1987,100,Comedia,Chris Columbus,Chris Columbus,Elisabeth Shue,Estados Unidos,5.9,3863
Avril y el mundo alterado,2015,90,Animación,Christian Desmares,"Christian Desmares,", ,Francia,6.7,1021
Azul y no tan rosa,2012,114,Drama,Miguel Ferrari,Miguel Ferrari,Guillermo García,Venezuela,6.2,1106
AzulOscuroCasiNegro,2006,105,Drama,Daniel Sánchez Arévalo,Daniel Sánchez Arévalo,Quim Gutiérrez,España,7.0,39897
Azumi,2003,128,Acción,Ryûhei Kitamura,Ryûhei Kitamura,Aya Ueto,Japón,5.9,4530
Azur y Asmar,2006,92,Animación,Michel Ocelot,Michel Ocelot, ,Francia,7.0,1504
Años de sequía,2020,117,Drama,Robert Connolly,Robert Connolly,Eric Bana,Australia,6.3,2186
BAC Nord: Brigada de Investigación Criminal,2021,105,Thriller,Cédric Jimenez,Cédric Jimenez,Gilles Lellouche,Francia,6.4,2666
Baarìa,2009,150,Comedia,Giuseppe Tornatore,Giuseppe Tornatore,Francesco Scianna,Italia,6.1,1898
Babadook,2014,94,Terror,Jennifer Kent,Jennifer Kent,Essie Davis,Australia,5.9,26923
Babel,2006,142,Drama,Alejandro González Iñárritu,Alejandro González Iñárritu,Brad Pitt,Estados Unidos,7.2,87138
Baby Driver,2017,115,Thriller,Edgar Wright,Edgar Wright,Ansel Elgort,Reino Unido,6.5,31266
Babylon,2022,189,Drama,Damien Chazelle,Damien Chazelle,Margot Robbie,Estados Unidos,7.1,10467
Backbeat,1994,100,Musical,Iain Softley,Iain Softley,Stephen Dorff,Reino Unido,5.9,1877
Bacurau,2019,132,Intriga,Kleber Mendonça Filho,"Kleber Mendonça Filho,",Udo Kier,Brasil,6.3,3218
Bad Boy Bubby,1993,112,Drama,Rolf de Heer,Rolf de Heer,Nicholas Hope,Australia,7.0,1278
Bad Boys,1983,123,Thriller,Rick Rosenthal,Rick Rosenthal,Sean Penn,Estados Unidos,6.6,1094
Bad Guy,2001,100,Thriller,Kim Ki-duk,Kim Ki-duk,Cho Jae-yun,Corea del Sur,6.3,1401
Bad Santa,2003,93,Comedia,Terry Zwigoff,Terry Zwigoff,Billy Bob Thornton,Estados Unidos,5.9,6002
Bagdad Café,1987,91,Comedia,Percy Adlon,Percy Adlon,Marianne Sägebrecht,Alemania del Oeste (RFA),7.0,5378
Bailando con lobos,1990,180,Western,Kevin Costner,Kevin Costner,Kevin Costner,Estados Unidos,7.4,88453
Bailar en la oscuridad,2000,140,Drama,Lars von Trier,Lars von Trier,Björk,Dinamarca,7.6,48207
Bailo por dentro,2004,100,Drama,Damien O'Donnell,Damien O'Donnell,James McAvoy,Reino Unido,7.2,1618
Bajo cero,2006,120,Aventuras,Frank Marshall,Frank Marshall,Paul Walker,Estados Unidos,6.3,9221
Bajo el fuego,1983,128,Drama,Roger Spottiswoode,Roger Spottiswoode,Nick Nolte,Estados Unidos,6.7,2296
Bajo el sol,1998,118,Drama,Colin Nutley,Colin Nutley,Rolf Lassgård,Suecia,6.6,1246
Bajo el sol de Satán,1987,93,Drama,Maurice Pialat,Maurice Pialat,Gérard Depardieu,Francia,6.5,1076
Bajo el volcán,1984,109,Drama,John Huston,John Huston,Albert Finney,Estados Unidos,6.5,1442
Bajo la arena,2000,95,Drama,François Ozon,François Ozon,Charlotte Rampling,Francia,6.6,1410
Bajo la misma estrella,2014,125,Romance,Josh Boone,Josh Boone,Shailene Woodley,Estados Unidos,6.6,18798
Bajo la rosa,2017,99,Thriller,Josué Ramos,Josué Ramos,Pedro Casablanc,España,5.9,1299
Bajo las estrellas,2007,107,Drama,Félix Viscarret,Félix Viscarret,Alberto San Juan,España,6.3,6726
Bajocero,2021,106,Thriller,Lluís Quílez,Lluís Quílez,Javier Gutiérrez,España,6.1,17948
Balas sobre Broadway,1994,99,Comedia,Woody Allen,Woody Allen,John Cusack,Estados Unidos,7.5,28813
Balzac y la joven costurera china,2002,116,Drama,Dai Sijie,Dai Sijie,Zhou Xun,China,6.9,2869
Banderas de nuestros padres,2006,132,Bélico,Clint Eastwood,Clint Eastwood,Ryan Phillippe,Estados Unidos,6.7,48390
Bandidos,2001,123,Acción,Barry Levinson,Barry Levinson,Bruce Willis,Estados Unidos,5.9,12563
Bar Bahar. Entre dos mundos,2016,96,Drama,Maysaloun Hamoud,Maysaloun Hamoud,Jon Voight,Reino Unido,6.8,2883
Barbarian,2022,102,Terror,Zach Cregger,Zach Cregger,Georgina Campbell,Estados Unidos,6.2,10007
"Barcelona, noche de invierno",2015,92,Romance,Dani de la Orden,Dani de la Orden,Alberto San Juan,España,6.1,4185
"Barcelona, noche de verano",2013,95,Romance,Dani de la Orden,Dani de la Orden,Miki Esparbé,España,5.8,4918
"Bardo, falsa crónica de unas cuantas verdades",2022,159,Comedia,Alejandro González Iñárritu,Alejandro González Iñárritu,Daniel Giménez Cacho,México,6.1,1514
Barrio,1998,94,Drama,Fernando León de Aranoa,Fernando León de Aranoa,Críspulo Cabezas,España,7.2,30635
Barry Lyndon,1975,183,Drama,Stanley Kubrick,Stanley Kubrick,Ryan O'Neal,Reino Unido,7.9,35557
Barry Seal: El traficante,2017,114,Thriller,Doug Liman,Doug Liman,Tom Cruise,Estados Unidos,6.4,16752
Barton Fink,1991,113,Drama,Joel Coen,Joel Coen,John Turturro,Estados Unidos,7.4,25963
Basic,2003,98,Intriga,John McTiernan,John McTiernan,John Travolta,Estados Unidos,6.0,10673
Basquiat,1996,106,Drama,Julian Schnabel,Julian Schnabel,Jeffrey Wright,Estados Unidos,6.3,2511
Batalla en Seattle,2007,100,Acción,Stuart Townsend,Stuart Townsend,Charlize Theron,Estados Unidos,6.1,3479
Batman,1989,121,Fantástico,Tim Burton,Tim Burton,Michael Keaton,Estados Unidos,6.8,111394
Batman Begins,2005,140,Thriller,Christopher Nolan,Christopher Nolan,Christian Bale,Estados Unidos,7.4,109590
Batman vuelve,1992,130,Fantástico,Tim Burton,Tim Burton,Michael Keaton,Estados Unidos,6.4,50441
Batman: La LEGO película,2017,104,Animación,Chris McKay,Chris McKay, ,Estados Unidos,6.4,10397
Battle Royale,2000,114,Thriller,Kinji Fukasaku,Kinji Fukasaku,Aki Maeda,Japón,6.5,35502
Battlestar Galactica: El plan,2009,110,Ciencia ficción,Edward James Olmos,Edward James Olmos,Tricia Helfer,Estados Unidos,6.0,2106
Beach Rats,2017,95,Drama,Eliza Hittman,Eliza Hittman,Harris Dickinson,Estados Unidos,6.0,1681
Beast,2017,107,Drama,Michael Pearce,Michael Pearce,Jessie Buckley,Reino Unido,6.2,1855
Beasts of No Nation,2015,137,Drama,Cary Joji Fukunaga,Cary Joji Fukunaga,Abraham Attah,Estados Unidos,7.3,14196
Beau tiene miedo,2023,179,Drama,Ari Aster,Ari Aster,Joaquin Phoenix,Estados Unidos,6.3,1235
Beautiful Boxer,2003,118,Drama,Ekachai Uekrongtham,Ekachai Uekrongtham,Asanee Suwan,Tailandia,6.5,1405
Beautiful Boy. Siempre serás mi hijo,2018,111,Drama,Felix Van Groeningen,Felix Van Groeningen,Steve Carell,Estados Unidos,6.4,4312
Beautiful Girls,1996,113,Drama,Ted Demme,Ted Demme,Timothy Hutton,Estados Unidos,7.1,18261
Begin Again,2013,104,Drama,John Carney,John Carney,Keira Knightley,Estados Unidos,6.8,26486
Beginners (Principiantes),2010,105,Drama,Mike Mills,Mike Mills,Ewan McGregor,Estados Unidos,6.9,16327
Belfast,2021,98,Drama,Kenneth Branagh,Kenneth Branagh,Jude Hill,Reino Unido,6.8,10998
Bella,2006,91,Romance,Alejandro Monteverde,Alejandro Monteverde,Nikolaj Coster-Waldau,Islandia,5.8,2489
Belladonna of Sadness,1973,100,Animación,Eiichi Yamamoto,Eiichi Yamamoto, ,Japón,7.3,1267
Belle,2013,105,Drama,Amma Asante,Amma Asante,Gugu Mbatha-Raw,Reino Unido,6.3,2825
Belle y Sebastián,2013,104,Aventuras,Nicolas Vanier,Nicolas Vanier,Félix Bossuet,Francia,6.2,1021
Belle Époque,1992,108,Comedia,Fernando Trueba,Fernando Trueba,Fernando Fernán Gómez,España,6.8,25150
Belleza oculta,2016,94,Drama,David Frankel,David Frankel,Will Smith,Estados Unidos,5.9,9644
Belleza prohibida,2004,107,Drama,Richard Eyre,Richard Eyre,Billy Crudup,Estados Unidos,6.3,1872
Belleza robada,1996,118,Drama,Bernardo Bertolucci,Bernardo Bertolucci,Liv Tyler,Italia,6.0,6482
Ben X,2007,93,Drama,Nic Balthazar,Nic Balthazar,Greg Timmermans,Bélgica,6.6,5192
Benedetta,2021,131,Drama,Paul Verhoeven,Paul Verhoeven,Virginie Efira,Francia,6.3,4886
"Benny & Joon, el amor de los inocentes",1993,100,Comedia,Jeremiah Chechik,Jeremiah Chechik,Johnny Depp,Estados Unidos,6.5,4107
Beowulf,2007,115,Animación,Robert Zemeckis,Robert Zemeckis,Ray Winstone,Estados Unidos,5.8,23960
Berlin Calling,2008,105,Comedia,Hannes Stöhr,Hannes Stöhr,Paul Kalkbrenner,Alemania,6.7,2336
Bernie,2011,99,Comedia,Richard Linklater,Richard Linklater,Jack Black,Estados Unidos,6.2,4971
Berserk. La Edad de Oro III: El advenimiento,2013,110,Animación,Toshiyuki Kubooka,Toshiyuki Kubooka, ,Japón,7.2,2728
Besando a Jessica Stein,2001,96,Romance,Charles Herman-Wurmfeld,Charles Herman-Wurmfeld,Jennifer Westfeldt,Estados Unidos,5.9,1221
Besen a quien quieran,2002,103,Comedia,Michel Blanc,Michel Blanc,Charlotte Rampling,Francia,6.0,1180
Bestias del sur salvaje,2012,90,Drama,Benh Zeitlin,Benh Zeitlin,Quvenzhané Wallis,Estados Unidos,6.5,15631
Better Days,2019,138,Drama,Derek Tsang,Derek Tsang,Ugo Tognazzi,Italia,7.1,1502
Betty Anne Waters (Conviction),2010,107,Drama,Tony Goldwyn,Tony Goldwyn,Hilary Swank,Estados Unidos,6.4,6327
Beyond the Sea,2004,121,Drama,Kevin Spacey,Kevin Spacey,Sky Ferreira,Reino Unido,6.2,2091
"Bichos, una aventura en miniatura",1998,95,Animación,John Lasseter,"John Lasseter,", ,Estados Unidos,6.7,87730
"Bienvenido, Mr. Chance",1979,130,Comedia,Hal Ashby,Hal Ashby,Peter Sellers,Estados Unidos,7.2,6244
Bienvenidos al Norte,2008,106,Comedia,Dany Boon,Dany Boon,Kad Merad,Francia,6.7,40773
Bienvenidos al Sur,2010,102,Comedia,Luca Miniero,Luca Miniero,Claudio Bisio,Italia,5.9,10119
Bienvenidos al fin del mundo,2013,106,Comedia,Edgar Wright,Edgar Wright,Simon Pegg,Reino Unido,6.1,20645
Big,1988,102,Comedia,Penny Marshall,Penny Marshall,Tom Hanks,Estados Unidos,6.3,87583
Big Bad Wolves,2013,110,Thriller,Aharon Keshales,"Aharon Keshales,",Tzahi Grad,Israel,6.3,8043
Big Eyes,2014,106,Drama,Tim Burton,Tim Burton,Amy Adams,Estados Unidos,6.1,17997
Big Fish,2003,126,Drama,Tim Burton,Tim Burton,Ewan McGregor,Estados Unidos,7.9,131086
Big Fish & Begonia,2016,104,Animación,Liang Xuan,"Liang Xuan,", ,China,6.6,1859
Big Hero 6,2014,108,Animación,Chris Williams,"Chris Williams,", ,Estados Unidos,7.0,37415
Billy Elliot (Quiero bailar),2000,111,Drama,Stephen Daldry,Stephen Daldry,Jamie Bell,Reino Unido,7.4,71540
Bird,1988,161,Drama,Clint Eastwood,Clint Eastwood,Forest Whitaker,Estados Unidos,7.4,10312
Birdman o (La inesperada virtud de la ignorancia),2014,118,Comedia,Alejandro González Iñárritu,Alejandro González Iñárritu,Michael Keaton,Estados Unidos,7.0,74664
Birdy,1984,118,Drama,Alan Parker,Alan Parker,Matthew Modine,Estados Unidos,7.0,5343
Bitelchús,1988,93,Fantástico,Tim Burton,Tim Burton,Michael Keaton,Estados Unidos,6.8,50964
Biutiful,2010,145,Drama,Alejandro González Iñárritu,Alejandro González Iñárritu,Javier Bardem,México,6.5,21742
Black Box,2020,129,Intriga,Yann Gozlan,Yann Gozlan,Pierre Niney,Francia,6.7,2071
Black Coal,2014,106,Thriller,Diao Yinan,Diao Yinan,Liao Fan,China,5.8,2618
Black Dynamite,2009,90,Acción,Scott Sanders,Scott Sanders,Michael Jai White,Estados Unidos,6.5,1268
Black Hawk derribado,2001,140,Bélico,Ridley Scott,Ridley Scott,Josh Hartnett,Estados Unidos,6.9,52606
Black Mass: Estrictamente criminal,2015,122,Thriller,Scott Cooper,Scott Cooper,Johnny Depp,Estados Unidos,6.1,17101
Black Mirror: Bandersnatch,2018,90,Thriller,David Slade,David Slade,Fionn Whitehead,Reino Unido,6.3,20290
Black Panther,2018,134,Acción,Ryan Coogler,Ryan Coogler,Chadwick Boseman,Estados Unidos,5.9,31896
Black Phone,2021,102,Terror,Scott Derrickson,Scott Derrickson,Ethan Hawke,Estados Unidos,6.3,11197
Black Rain,1989,125,Acción,Ridley Scott,Ridley Scott,Michael Douglas,Estados Unidos,6.2,12032
Black Sea: Mar tenebroso,2014,115,Aventuras,Kevin Macdonald,Kevin Macdonald,Jude Law,Reino Unido,5.8,3282
Black Snake Moan,2006,115,Drama,Craig Brewer,Craig Brewer,Samuel L. Jackson,Estados Unidos,6.1,6477
Blackthorn. Sin destino,2011,98,Western,Mateo Gil,Mateo Gil,Sam Shepard,España,6.4,9924
Blade,1998,120,Fantástico,Stephen Norrington,Stephen Norrington,Wesley Snipes,Estados Unidos,6.0,93104
Blade Runner,1982,117,Ciencia ficción,Ridley Scott,Ridley Scott,Harrison Ford,Estados Unidos,8.1,136246
Blade Runner 2049,2017,163,Ciencia ficción,Denis Villeneuve,Denis Villeneuve,Ryan Gosling,Estados Unidos,7.0,45432
Blame!,2017,106,Animación,Hiroyuki Seshita,Hiroyuki Seshita, ,Japón,6.1,1738
Blancanieves,2012,104,Drama,Pablo Berger,Pablo Berger,Macarena García,España,7.0,21219
Blind,2014,96,Drama,Eskil Vogt,Eskil Vogt,Ellen Dorrit Petersen,Noruega,6.5,1890
